region,hospital_name,city,neighborhood,ownership,level,specialties,opening_hours,website_or_page,latitude,longitude,map_link,source
Center,Hôpital Central de Yaoundé,Yaoundé,Plateau/Center City,Public,General,"['General medicine','Emergency','Surgery','Internal medicine','Obstetrics & Gynecology','Pediatrics','Imaging','Laboratory']",24/7 emergency,https://osidimbea.cm/yaounde/hopital-central-de-yaounde/,3.8617,11.5036,"https://www.google.com/maps/place/3.8617,11.5036",Osidimbea profile (service list); Mapcarta location
Center,Hôpital Général de Yaoundé,Yaoundé,Ngousso,Public (Tertiary),General,"['General hospital','Surgery','Medicine','Obstetrics','Pediatrics','Nephrology','Imaging','renal failure','Dialysis']",24/7 emergency,https://en.wikipedia.org/wiki/Yaound%C3%A9_General_Hospital,3.89837,11.51297,"https://www.google.com/maps/place/3.89837,11.51297",Wikipedia (overview/services); Google Maps coordinates
Center,Hôpital Jamot de Yaoundé,Yaoundé,Mfandena,Public (Specialized),Specialized,"['Pulmonology','Tuberculosis','Infectious diseases','Respiratory care','psychiatry']",Mon–Fri daytime; 24/7 inpatient,https://fr.wikipedia.org/wiki/H%C3%B4pital_Jamot_de_Yaound%C3%A9,3.89291,11.51854,https://www.openstreetmap.org/node/4740571626,Wikipedia (scope); OpenStreetMap location
Center,Hôpital Gynéco-Obstétrique et Pédiatrique de Yaoundé (HGOPY),Yaoundé,Ngousso,Public (Specialized),Specialized,"['Obstetrics','Gynecology','Pediatrics','Neonatology','Maternal & child health','Cancer']",24/7 maternity & neonatal,https://en.wikipedia.org/wiki/Yaound%C3%A9_Gynaeco-Obstetric_and_Pediatric_Hospital,3.90074,11.51441,"https://www.google.com/maps/place/3.90074,11.51441",Wikipedia (scope); Google Maps location
Center,Centre Hospitalier Universitaire de Yaoundé (CHUY),Yaoundé,Ngoa-Ekélé,Public (Teaching),Teaching Hospital,"['hepatology','liver diseases','Surgery','Internal medicine','ICU','Imaging','Laboratory','dermatology','dentistry','renal failure','Dialysis']",24/7,https://en.wikipedia.org/wiki/University_Teaching_Hospital_of_Yaound%C3%A9,3.8465,11.4852,"https://www.google.com/maps/place/3.8465,11.4852",Wikipedia (overview); Google Maps coordinates
Center,Hôpital Militaire de Yaoundé,Yaoundé,Messa-Azul,Public (Military),Military,"['oncology','radiation therapy','palliative care']",24/7 emergency,https://en.wikipedia.org/wiki/Yaound%C3%A9_Military_Hospital,3.8588,11.4955,"https://www.google.com/maps/place/3.8588,11.4955",Wikipedia (overview); Google Maps coordinates
Center,Hôpital de District de Biyem-Assi,Yaoundé,Biyem-Assi,Public (District),District,"['General medicine','Maternity','Pediatrics','Basic surgery','Vaccination','Diabetes']",Mon–Fri daytime; 24/7 maternity/emergency,https://www.google.com/maps/place/H%C3%B4pital+de+District+de+Biyem-Assi,3.83803,11.47941,"https://www.google.com/maps/place/3.83803,11.47941",Google Maps place (name/services)
Center,Hôpital de District de Djoungolo,Yaoundé,Mvog-Ada / Central area,Public (District),District,"['General medicine','Maternity','Pediatrics','Emergency','Vaccination','Neurology','Diabetes','Hepatite B','tuberculosis']",Mon–Fri daytime; 24/7 maternity/emergency,https://www.yaoundezoom.com/en/activite/rue/66%20rue%20joseph%20essono%20balla/Hopital%20de%20djoungolo/1537,3.88382,11.51873,"https://www.google.com/maps/place/3.8838218,11.5187275",Google Maps coordinates
Center,Mbalmayo Regional Hospital,Yaoundé,Mbalmayo,Public (Regional),Regional,"['Regional referral','General surgery','Internal medicine','Obstetrics','Pediatrics','Emergency']",24/7 emergency,https://fr.wikipedia.org/wiki/Mbalmayo#Sant%C3%A9,3.5109,11.5022,"https://www.google.com/maps/place/3.5109,11.5022",Wikipedia (regional hospital mention); Google Maps coordinates
Center,Obala District Hospital,Obala,Obala,Public (District),District,"['General medicine','Maternity','Pediatrics','Emergency','Vaccination','HIV/AIDS']",Mon–Fri daytime; 24/7 maternity/emergency,https://latitude.to/map/cm/cameroon/cities/obala,4.1667,11.5333,"https://www.google.com/maps/place/4.1667,11.5333",Latitude.to (town geo); Google Maps place (facility)
Center,Monatélé District Hospital,Monatélé,Monatélé,Public (District),District,"['oncology','chemotherapy','radiation therapy','surgery','breast cancer diagnosis']",Mon–Fri daytime; 24/7 maternity/emergency,https://mapcarta.com/W435622966,4.2667,11.2,"https://www.google.com/maps/place/4.2667,11.2000",Mapcarta (facility/location)
Center,Esse District Hospital,Esse,Esse,Public (District),District,"['General medicine','Surgery','Emergency','Imaging','Pharmacy']",Mon–Fri daytime; 24/7 maternity/emergency,https://www.google.com/maps/search/H%C3%B4pital+de+district+Esse+Centre,4.1,11.95,"https://www.google.com/maps/search/4.1,11.95",Google Maps place (facility)
West,Bafoussam Regional Hospital,Bafoussam,Quartier Eveché,Public,Regional,"['Cardiology','Surgery','Dermatology','Gynecology','Hepato-Gastroenterology','General Medicine','Nephrology','Neurosurgery','Neurology','renal failure','dialysis services','Ophthalmology','ENT','Palliative Care','Laboratory','Imaging','Orthopedics','Pediatrics','Obstetrics','Psychiatry','Internal Medicine','Infectious Diseases','Urology','Plastic Surgery','Anesthesia']",24/7,https://chrbafoussam.cm/,5.4868,10.4061,https://www.openstreetmap.org/?mlat=5.4868&mlon=10.4061#map=17/5.4868/10.4061,CHR de Bafoussam
West,Dschang District Hospital,Dschang,Quartier Dschang,Public,District,"['General Medicine','Maternal Health','HIV/AIDS Care','Malaria Treatment','Infectious Diseases']",Mon-Fri 8am-5pm,https://research-nexus.net/institution/9002699334/,5.451,10.067,https://www.openstreetmap.org/?mlat=5.451&mlon=10.067#map=17/5.451/10.067,Research Nexus
West,Penka-Michel District Hospital,Penka-Michel,Bansoa,Public,District,"['General Medicine','Laboratory','Gyneco-obstetrics','Minor Surgery','Emergency Care']",Mon-Fri 8am-5pm,https://doctor4africa.com/listing/cameroon/district-hospital%2Chospital/penka-michel-hopital-de-district/,5.398,10.255,https://www.openstreetmap.org/?mlat=5.398&mlon=10.255#map=17/5.398/10.255,Doctor4Africa
South-West,Buea Regional Hospital,Buea,Molyko,Public,Regional,"['Cancer Care','Surgery','Gynecology','Pediatrics','General Medicine','Diagnostic Biopsy','Pleural Tap','Abdominal Tap','Lumbar Puncture']",24/7,https://bvgh.org/regional-hospital-annex-buea/,4.154,9.231,https://www.openstreetmap.org/?mlat=4.154&mlon=9.231#map=17/4.154/9.231,BVGH
South-West,Kumba District Hospital,Kumba,Central Kumba,Public,District,"['General Medicine','HIV Care','Malaria Treatment','Maternal Health','renal failure','dialysis services','Sexually Transmitted Diseases','Tuberculosis']",Mon-Fri 8am-5pm,https://www.facebook.com/p/District-Hospital-KUMBA-Town-Former-PMI-100022837023047/,4.636,9.445,https://www.openstreetmap.org/?mlat=4.636&mlon=9.445#map=17/4.636/9.445,Facebook
South-West,Tiko District Hospital,Tiko,Central Tiko,Public,District,"['General Medicine','Gynecology','Pediatrics','Emergency Care','Minor Surgery','Hypertension']",Mon-Fri 8am-5pm,https://www.facebook.com/p/Tiko-District-Hospital-61561810318126/,4.075,9.365,https://www.openstreetmap.org/?mlat=4.075&mlon=9.365#map=17/4.075/9.365,Facebook
South,Ebolowa Regional Hospital,Ebolowa,Central Ebolowa,Public,Regional,"['General Medicine','Infectious Diseases','Malaria Treatment','Emergency Care','Surgical Services','Obstetrics','Pediatrics','Laboratory Services']",24/7,https://goo.gl/maps/m1hxj7R8G2B2,2.904,11.153,https://www.openstreetmap.org/?mlat=2.904&mlon=11.153#map=17/2.904/11.153,Google Maps
South,Kribi District Hospital,Kribi,Central Kribi,Public,District,"['General Medicine','Gynecology','Pediatrics','Surgical Services','Emergency Care','Laboratory Services','Imaging','Maternity']",Mon-Fri 8am-5pm,https://goo.gl/maps/qtZLcx1rbHR2,2.939,9.914,https://www.openstreetmap.org/?mlat=2.939&mlon=9.914#map=17/2.939/9.914,Google Maps
South,Mvangan District Hospital,Mvangan,Central Mvangan,Public,District,"['General Medicine','Maternal Health','HIV/AIDS Care','Malaria Treatment','Infectious Diseases']",Mon-Fri 8am-5pm,https://goo.gl/maps/Kjv1oW9ch7y,2.716,11.183,https://www.openstreetmap.org/?mlat=2.716&mlon=11.183#map=17/2.716/11.183,Google Maps
North-West,Bamenda Regional Hospital,Bamenda,Central Bamenda,Public,Regional,"['General Medicine','Surgery','Obstetrics','Pediatrics','Gynecology','Laboratory Services','Emergency Care','Imaging']",24/7,https://goo.gl/maps/qpXjJSTc5Xv,5.963,10.159,https://www.openstreetmap.org/?mlat=5.963&mlon=10.159#map=17/5.963/10.159,Google Maps
North-West,Kumbo District Hospital,Kumbo,Central Kumbo,Public,District,"['General Medicine','Maternal Health','Chronic kidney disease','ophthalmology','plastic surgery','dermatology']",Mon-Fri 8am-5pm,https://goo.gl/maps/BzUdeyPPeUv,6.204,10.661,https://www.openstreetmap.org/?mlat=6.204&mlon=10.661#map=17/6.204/10.661,Google Maps
North-West,Ndop District Hospital,Ndop,Central Ndop,Public,District,"['General Medicine','Maternal Health','HIV/AIDS Care','Malaria Treatment','Infectious Diseases']",Mon-Fri 8am-5pm,https://goo.gl/maps/Mtbqu6sFSx42,6.017,10.408,https://www.openstreetmap.org/?mlat=6.017&mlon=10.408#map=17/6.017/10.408,Google Maps
East,Clinic of Hope,Bertoua,Koume,Private,District,"['Gynecology','Laboratory','Radiology','Diabetes','Surgery']",Mon-Fri 8am-5pm,https://hopeclinic-koume.org/,4.5596,13.6335,https://maps.app.goo.gl/9b2mRRdLvquQaiii6,Google Maps
East,Bertoua Regional Hospital,Bertoua,Nkolbikon,Public,Regional,"['General Medicine','Surgical Services','Obstetrics','Pediatrics','Gynecology','Laboratory Services','Emergency Care','Imaging','Hypertension']",24/7,https://goo.gl/maps/UGoXeeFbKyP2,4.577,13.684,https://www.openstreetmap.org/?mlat=4.577&mlon=13.684#map=17/4.577/13.684,Google Maps
East,Batouri District Hospital,Batouri,Central Batouri,Public,District,"['General Medicine','Maternal Health','HIV/AIDS Care','Malaria Treatment','Infectious Diseases']",Mon-Fri 8am-5pm,https://goo.gl/maps/9QJjXKnzB5p,4.433,14.366,https://www.openstreetmap.org/?mlat=4.433&mlon=14.366#map=17/4.433/14.366,Google Maps
East,Abong-Mbang District Hospital,Abong-Mbang,Central Abong-Mbang,Public,District,"['General Medicine','Maternal Health','HIV/AIDS Care','Malaria Treatment','Infectious Diseases']",Mon-Fri 8am-5pm,https://goo.gl/maps/hZ3bpVYcE142,3.983,13.183,https://www.openstreetmap.org/?mlat=3.983&mlon=13.183#map=17/3.983/13.183,Google Maps
South,Ebolowa Regional Hospital,Ebolowa,Ngalan (city centre),Public,Regional Hospital,"['General medicine','Surgery','Obstetrics & Gynecology','Pediatrics','Neonatology','Radiology','Laboratory','Pharmacy','Ophthalmology','ENT','Odontology','ICU/Resuscitation']",24/7,https://www.cameroon-tribune.cm/article.html/43893/fr.html/ebolowa-regional-hospital-aptly-constructed-,2.9,11.15,https://mapcarta.com/fr/W823471572,Mapcarta (location) Cameroon-Tribune (service inventory)
South,Kribi Regional Annex Hospital,Kribi,City centre,Public,Regional Hospital Annex,"['General medicine','Maternity','Pediatrics','Emergency','Vaccination','Ophthalmology','Cardiology (new)']",Mon–Fri: general services; Cardiology: Tue–Sun 8–18,https://myhospital237.info/hopital-regional-annexe-de-kribi-le-service-de-cardiologie-desormais-operationnel/,2.93794,9.91386,"https://maps.google.com/?q=2.93794,9.91386",MyHospital237 (annex status & specialties including cardiology)
East,Bertoua Regional Hospital,Bertoua,Camp Sic,Public,Regional Hospital,"['General medicine','Surgery','Obstetrics & Gynecology','Pediatrics','Emergency','Laboratory & Blood Bank','Imaging (CT X-ray Ultrasound Scanner)','Ophthalmology','ENT','Dialysis','ICU','Pharmacy','Urology','Cardiology','Endocrinology','Dermatology','Odontology']",24/7,https://hopitalregionalbertoua.celestecom.com/presentation-de-lhopital-regional-de-bertoua.html,4.5839,13.6761,"https://maps.google.com/?q=4.58390,13.67610",Official hospital site (service details) La Voix du Koat (inauguration data)
East,Abong-Mbang District Hospital,Abong-Mbang,City centre,Public,District,"['General medicine','Maternity','Pediatrics','Emergency','Vaccination']",Mon–Fri 08:00–17:00; Emergency: 24/7,https://www.medicoor.com/entreprise/hopital-de-district-dabong-mbang/,3.9809,13.1834,https://www.openstreetmap.org/search?query=3.98090%2C13.18340,Medicoor listing OpenStreetMap location
North,Garoua Regional Hospital,Garoua,Plateau (approx.),Public,Regional,"['General medicine','Maternity','Surgery','Pediatrics']",-26,https://fr.wikipedia.org/wiki/H%C3%B4pital_r%C3%A9gional_de_Garoua,9.3069,13.3875,https://www.openstreetmap.org/?mlat=9.3069&mlon=13.3875#map=17/9.3069/13.3875,https://fr.wikipedia.org/wiki/H%C3%B4pital_r%C3%A9gional_de_Garoua
North,Guider District Hospital,Guider,Centre-ville,Public,District,"['General medicine','Maternity','Emergency']",,https://www.openstreetmap.org/way/402781250,9.9332,13.948,https://www.openstreetmap.org/?mlat=9.9332&mlon=13.9480#map=17/9.9332/13.9480,https://www.openstreetmap.org/way/402781250
North,Lagdo District Hospital,Lagdo,Centre,Public,District,"['General medecine','toxo','radiology']",,https://www.openstreetmap.org/way/402781256,9.0535,13.6409,https://www.openstreetmap.org/?mlat=9.0535&mlon=13.6409#map=17/9.0535/13.6409,https://www.openstreetmap.org/way/402781256
North,Pitoa District Hospital,Pitoa,Pitoa centre,Public,District,"['diabetes','pediatrics','maternity','Laboratory']",,https://www.openstreetmap.org/way/402781257,9.4006,13.5081,https://www.openstreetmap.org/?mlat=9.4006&mlon=13.5081#map=17/9.4006/13.5081,https://www.openstreetmap.org/way/402781257
North,Poli District Hospital,Poli,Poli centre,Public,District,"['General Medicine','Gynecology','Tuberculosis']",,https://www.openstreetmap.org/way/402781253,8.4838,13.2423,https://www.openstreetmap.org/?mlat=8.4838&mlon=13.2423#map=17/8.4838/13.2423,https://www.openstreetmap.org/way/402781253
North,Tcholliré District Hospital,Tcholliré,Tcholliré centre,Public,District,"['General Medicine','Maternal Health','Vaccination','Malaria Treatment','Respiratory Diseases']",,https://www.openstreetmap.org/node/3681826668,8.4023,14.1691,https://www.openstreetmap.org/?mlat=8.4023&mlon=14.1691#map=17/8.4023/14.1691,https://www.openstreetmap.org/node/3681826668
North,Bibemi District Hospital,Bibemi,Bibemi centre,Public,District,"['General Medicine','Maternal Health','HIV/AIDS Care','Malaria Treatment','Infectious Diseases']",,https://www.openstreetmap.org/node/3681826659,9.3136,13.886,https://www.openstreetmap.org/?mlat=9.3136&mlon=13.8860#map=17/9.3136/13.8860,https://www.openstreetmap.org/node/3681826659
North,Tcholliré Catholic Hospital (St. Joseph),Tcholliré,Quartier Mission,Private (Mission),Major clinic,"['General medicine','Maternity','Surgery (mission hospital)']",,https://www.openstreetmap.org/node/3681826669,8.4099,14.1708,https://www.openstreetmap.org/?mlat=8.4099&mlon=14.1708#map=17/8.4099/14.1708,https://www.openstreetmap.org/node/3681826669
Far North,Maroua District Hospital (Maroua I),Maroua,Domayo,Public,District,"['Gynecology','Internal Medicine', 'Ophthalmology','Orthopedics','Oncology','Surgery', 'Pediatrics','Dental','Physiotherapy', 'Diabetes']",,https://www.openstreetmap.org/node/3681826542,10.5958,14.3226,https://www.openstreetmap.org/?mlat=10.5958&mlon=14.3226#map=17/10.5958/14.3226,https://www.openstreetmap.org/node/3681826542
Far North,Mokolo District Hospital,Mokolo,Mokolo centre,Public,District,"['Gynecology','Laboratory','Radiology','Diabetes']",,https://www.openstreetmap.org/way/402781262,10.7374,13.8028,https://www.openstreetmap.org/?mlat=10.7374&mlon=13.8028#map=17/10.7374/13.8028,https://www.openstreetmap.org/way/402781262
Far North,Mora District Hospital,Mora,Mora centre,Public,District,"['pulmonology','tuberculosis','respiratory diseases']",,https://www.openstreetmap.org/node/3681826546,11.0453,14.1404,https://www.openstreetmap.org/?mlat=11.0453&mlon=14.1404#map=17/11.0453/14.1404,https://www.openstreetmap.org/node/3681826546
Far North,Yagoua District Hospital,Yagoua,Yagoua centre,Public,District,"['Maternity','tuberculosis','viral hepatitis','Pediatrics']",,https://www.openstreetmap.org/node/3681826553,10.3433,15.2313,https://www.openstreetmap.org/?mlat=10.3433&mlon=15.2313#map=17/10.3433/15.2313,https://www.openstreetmap.org/node/3681826553
Far North,Viri District Hospital,Viri,Viri centre,Public,District,"['Gynecology','Maternity','Pediatrics']",,https://www.openstreetmap.org/node/3681826551,10.6377,14.1982,https://www.openstreetmap.org/?mlat=10.6377&mlon=14.1982#map=17/10.6377/14.1982,https://www.openstreetmap.org/node/3681826551
Far North,Mindif District Hospital,Mindif,Mindif centre,Public,District,"['emergency care','surgery','internal medicine','radiology']",,https://www.openstreetmap.org/node/3681826548,10.3949,14.4392,https://www.openstreetmap.org/?mlat=10.3949&mlon=14.4392#map=17/10.3949/14.4392,https://www.openstreetmap.org/node/3681826548
Far North,Tokombéré St. Kizito Hospital,Tokombéré,Quartier Mission,Private (Mission),Major clinic,"['Pediatrics','diabetes','Maternity','Vaccination']",-84,https://www.facebook.com/people/Hopital-St-Kizito-Tokomb%C3%A9r%C3%A9/100063763937197/,10.3804,13.5699,https://www.openstreetmap.org/?mlat=10.3804&mlon=13.5699#map=17/10.3804/13.5699,https://www.facebook.com/people/Hopital-St-Kizito-Tokomb%C3%A9r%C3%A9/100063763937197/
